"FieldName","PropertyName","ReferenceFieldId","Index","Length","DataType","Remarks"
"DME Longitude","DmeLon",5.37,"64:73",10,"Double","Specifies the longitude of the navigational feature using one alpha character ('E' or 'W') followed by nine digits representing degrees, minutes, seconds, tenths, and hundredths of seconds (e.g., W104450794)."
"Station Declination","StationDeclination",5.66,"74:78",5,"String","Specifies the angular difference between true north and the NAVAID’s zero-degree radial (or magnetic north for ILS localizers), expressed as a character indicating orientation (E=East of True North, W=West of True North, T=oriented True North, G=oriented Grid North) followed by declination in degrees/tenths with decimal suppressed; T and G entries are followed by zeros (e.g., E0072, E0000, T0000, G0000). Last digit is decimal (E0150 = E15.0)"
"DME Elevation","DmeElevation",5.4,"79:83",5,"String","Specifies the elevation of a DME component in feet relative to MSL, using a leading “–” if below sea level (e.g., 00530, -0140)."
"Figure of Merit","FigureOfMerit",5.149,84,1,"String","Defines the usable range or status of a VHF NAVAID beyond its class, with coded values: 0 = Terminal (≤25NM), 1 = Low Altitude (≤40NM), 2 = High Altitude (≤130NM), 3 = Extended High Altitude (>130NM), 7 = Not in civil international NOTAM system, 9 = Out of service. FAA NOTE: Figure of Merit is determined from the NAVAID Class; If the Navaid Class is undetermined, the Figure of Merit will be coded as ‘3’."
"ILS/DME Bias","IlsDmeBias",5.9,"85:86",2,"String","Specifies the DME offset in nautical miles and tenths (decimal suppressed); left blank if no bias is present (e.g., 13 = 1.3 NM, 91 = 9.1 NM)."
"Frequency Protection","FreqProtection",5.15,"87:89",3,"Int","Indicates the distance in nautical miles to the nearest DME or TACAN facility operating on the same frequency, up to a maximum of 600 NM (e.g., 030, 150, 600)."
"Datum Code","DatumCode",5.197,"90:92",3,"String","Defines the local horizontal reference datum used for the geographic position (latitude and longitude); represented by a three-letter code from official government publications (e.g., AGD, NAS, WGA)."
"VOR Name","VorName",5.71,"93:122",30,"String","Provides the facility name and may include a parenthetical location for clarity."
"File Record No.","FileRecordNum",5.31,"123:127",5,"Int","Sequential reference number assigned to each record for housekeeping purposes, starting at 00001 and resetting to 00000 after 99999; subject to change with each file update. Examples (pad zeros left): 10640, 00420, 31462"
"Cycle Date","CycleDate",5.32,"128:131",4,"Int","Identifies the 28-day data update cycle in which the record was added or last revised; format is YYCC, where YY is the last two digits of the year and CC is the cycle number (01â€“13, occasionally 14). Example (pad zeros left): Cycle 11 in the year 2032 would be ""3211"". A cycle date change will happen for any change to fields except Dynamic Magnetic Variation, Frequency Protection, Continuation Record Number, and File Record Number."
