FieldName,PropertyName,ReferenceFieldId,Index,Length,DataType,Remarks
Station Declination,StationDeclination,5.66,90:94,5,String,"Specifies the angular difference between true north and the NAVAID’s zero-degree radial (or magnetic north for ILS localizers), expressed as a character indicating orientation (E=East of True North, W=West of True North, T=oriented True North, G=oriented Grid North) followed by declination in degrees/tenths with decimal suppressed; T and G entries are followed by zeros (e.g., E0072, E0000, T0000, G0000). Last digit is decimal (E0150 = E15.0)"
Glide Slope Height at Landing Threshold,GlideSlopeHeightAtLandingThreshold,5.67,95:96,2,String,"Specifies the height above the runway threshold on a normal glide path, taken from ILS/MLS glide slope, RNAV procedure, published VGSI, or set to 50 ft if none are available; also used in approach continuation and ILS/MLS records."
Glide Slope Elevation,GlideSlopeElevation,5.74,97:101,5,String,"Specifies the elevation of system components relative to MSL: GS ELEV = Glide Slope __ EL ELEV = MLS Elevation __ AZ ELEV = MLS Azimuth __ BAZ ELEV = MLS Back Azimuth __ GLS ELEV = GLS ground station; negative sign indicates below MSL (e.g., 00235, 01265, -0011)."
Supporting Facility ID,SupportingFacId,5.33,102:105,4,String,"Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS. Identifies the VHF, MF, or LF facility by its official government-assigned 1-4 character code (e.g., DEN, 6YA, PPI, TIKX)."
Supporting Facility ICAO Code,SupportingFacIcaoLocationCode,5.14,106:107,2,String,"Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS. Two-character ICAO code used for geographic categorization, typically based on ICAO Doc 7910. U.S. codes begin with 'K' followed by a digit for regional subdivision (e.g., K1, K7). Used for airports with at least one hard-surfaced runway or supporting enroute airway structure. If no ICAO identifier is published, the FAA identifier is used instead."
Supporting Facility Section Code,SupportingFacSectionCode,5.4,108,1,String,"Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS. Single character identifying the data section or domain, such as NAVAIDS (D), AIRPORT (P), ENROUTE (E), etc."
Supporting Facility Subsection Code,SupportingFacSubsectionCode,5.5,109,1,String,"Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS. Defines the specific subsection within a major database section where the record resides; used with Section Code and record identifier to reference related data such as fixes, procedures, communications, and routes."
Reserved (Expansion),,,110:122,13,,
File Record No.,FileRecordNoFileRecordNum,5.31,123:127,5,Int,"Sequential reference number assigned to each record for housekeeping purposes, starting at 00001 and resetting to 00000 after 99999; subject to change with each file update. Examples (pad zeros left): 10640, 00420, 31462"
Cycle Date,CycleDate,5.32,128:131,4,Int,"Identifies the 28-day data update cycle in which the record was added or last revised; format is YYCC, where YY is the last two digits of the year and CC is the cycle number (01â€“13, occasionally 14). Example (pad zeros left): Cycle 11 in the year 2032 would be ""3211"". A cycle date change will happen for any change to fields except Dynamic Magnetic Variation, Frequency Protection, Continuation Record Number, and File Record Number."
